"prtvtcit","euftf","imwbcnt","rlgdgr","stflife","gincdif","hmsacld","edlveit","domicil","hincfel","yrbrn","lrscale"
"M5S","LOW","LOW","MODERATE","LOW","HIGH","MODERATE","Low edu","Countryside","Difficult","Boomers","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","LOW","LOW","College edu","Countryside","Coping","Boomers","LEFT"
"CSX","HIGH","HIGH","MODERATE","HIGH","LOW","MODERATE","University edu","Countryside","Coping","Boomers","LEFT"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Gen X","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","Low edu","Countryside","Comfortable","Boomers","MODERATE"
"CSX","LOW","LOW","MODERATE","HIGH","HIGH","MODERATE","Low edu","Countryside","Difficult","Gen X","MODERATE"
"CDX","LOW","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Big city","Comfortable","Interwar","RIGHT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","MODERATE","University edu","Countryside","Comfortable","Boomers","LEFT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Difficult","Gen X","MODERATE"
"CDX","MODERATE","LOW","LOW","HIGH","HIGH","LOW","College edu","Small city","Coping","Gen X","RIGHT"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Gen X","MODERATE"
"CSX","LOW","MODERATE","MODERATE","HIGH","HIGH","HIGH","College edu","Big city","Coping","Millennials","LEFT"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Countryside","Comfortable","Boomers","LEFT"
"M5S","MODERATE","LOW","HIGH","LOW","MODERATE","LOW","College edu","Big city","Coping","Gen X","MODERATE"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","MODERATE","Low edu","Big city","Coping","Interwar","RIGHT"
"CDX","MODERATE","LOW","LOW","MODERATE","HIGH","LOW","Low edu","Small city","Coping","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Suburbs","Coping","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","Low edu","Small city","Coping","Interwar","RIGHT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"M5S","LOW","MODERATE","LOW","MODERATE","HIGH","MODERATE","Low edu","Small city","Difficult","Millennials","RIGHT"
"M5S","HIGH","MODERATE","HIGH","HIGH","MODERATE","MODERATE","College edu","Small city","Coping","Boomers","MODERATE"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","University edu","Countryside","Coping","Millennials","LEFT"
"M5S","MODERATE","MODERATE","LOW","MODERATE","HIGH","HIGH","University edu","Small city","Coping","Millennials","MODERATE"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","HIGH","College edu","Countryside","Difficult","Millennials","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Small city","Coping","Millennials","MODERATE"
"CSX","MODERATE","LOW","MODERATE","HIGH","MODERATE","LOW","Low edu","Countryside","Coping","Boomers","LEFT"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","RIGHT"
"M5S","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Gen X","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Big city","Coping","Millennials","RIGHT"
"CSX","HIGH","LOW","MODERATE","MODERATE","HIGH","MODERATE","College edu","Countryside","Coping","Millennials","MODERATE"
"CDX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Countryside","Coping","Boomers","RIGHT"
"CSX","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Interwar","LEFT"
"CDX","HIGH","HIGH","HIGH","HIGH","LOW","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","University edu","Countryside","Coping","Gen X","LEFT"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Big city","Coping","Interwar","MODERATE"
"CDX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","HIGH","College edu","Big city","Coping","Boomers","MODERATE"
"M5S","HIGH","HIGH","HIGH","MODERATE","HIGH","LOW","Low edu","Small city","Coping","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Millennials","MODERATE"
"CSX","MODERATE","MODERATE","LOW","MODERATE","LOW","HIGH","Low edu","Small city","Difficult","Gen X","LEFT"
"M5S","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","College edu","Small city","Comfortable","Millennials","LEFT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Gen X","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","HIGH","College edu","Big city","Coping","Gen X","LEFT"
"M5S","HIGH","MODERATE","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Millennials","MODERATE"
"CDX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Coping","Millennials","RIGHT"
"M5S","LOW","LOW","LOW","MODERATE","MODERATE","HIGH","College edu","Countryside","Coping","Millennials","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Countryside","Coping","Millennials","MODERATE"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Millennials","MODERATE"
"M5S","MODERATE","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","LOW","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Gen X","LEFT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","MODERATE"
"CDX","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Small city","Difficult","Boomers","RIGHT"
"CSX","MODERATE","LOW","HIGH","MODERATE","HIGH","LOW","University edu","Suburbs","Coping","Boomers","LEFT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","University edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Interwar","MODERATE"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Coping","Interwar","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Big city","Comfortable","Millennials","RIGHT"
"M5S","HIGH","HIGH","MODERATE","HIGH","LOW","HIGH","University edu","Small city","Comfortable","Gen X","MODERATE"
"CDX","MODERATE","LOW","HIGH","HIGH","HIGH","MODERATE","College edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","HIGH","MODERATE","HIGH","MODERATE","HIGH","MODERATE","Low edu","Countryside","Difficult","Millennials","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Interwar","LEFT"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Boomers","RIGHT"
"CDX","LOW","LOW","LOW","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","MODERATE","LOW","LOW","MODERATE","HIGH","HIGH","Low edu","Suburbs","Coping","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","LOW","Low edu","Small city","Coping","Interwar","LEFT"
"CDX","MODERATE","MODERATE","LOW","HIGH","LOW","LOW","Low edu","Countryside","Comfortable","Boomers","RIGHT"
"M5S","HIGH","LOW","MODERATE","HIGH","HIGH","MODERATE","Low edu","Big city","Coping","Millennials","MODERATE"
"CDX","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","HIGH","MODERATE","HIGH","HIGH","MODERATE","LOW","College edu","Small city","Coping","Gen X","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","MODERATE","LOW","College edu","Countryside","Comfortable","Boomers","RIGHT"
"CDX","HIGH","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Boomers","RIGHT"
"CDX","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","University edu","Small city","Coping","Gen X","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Interwar","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Interwar","RIGHT"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Coping","Gen X","MODERATE"
"M5S","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","Low edu","Small city","Comfortable","Gen X","RIGHT"
"CSX","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","University edu","Big city","Comfortable","Boomers","LEFT"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Small city","Difficult","Gen X","LEFT"
"CSX","HIGH","MODERATE","LOW","MODERATE","HIGH","HIGH","University edu","Small city","Coping","Gen X","LEFT"
"CDX","MODERATE","LOW","MODERATE","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Gen X","RIGHT"
"M5S","LOW","HIGH","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","LOW","LOW","LOW","LOW","HIGH","LOW","College edu","Small city","Coping","Boomers","RIGHT"
"M5S","MODERATE","LOW","HIGH","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Boomers","MODERATE"
"M5S","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Millennials","MODERATE"
"M5S","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","LEFT"
"CSX","HIGH","MODERATE","MODERATE","MODERATE","HIGH","LOW","University edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Countryside","Coping","Gen X","LEFT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","MODERATE","LOW","Low edu","Countryside","Coping","Gen X","RIGHT"
"M5S","HIGH","MODERATE","MODERATE","MODERATE","MODERATE","MODERATE","College edu","Big city","Coping","Boomers","LEFT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Small city","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","LOW","College edu","Suburbs","Coping","Gen X","LEFT"
"M5S","MODERATE","LOW","LOW","MODERATE","HIGH","MODERATE","University edu","Small city","Coping","Millennials","MODERATE"
"M5S","LOW","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Countryside","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Boomers","LEFT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"M5S","HIGH","MODERATE","MODERATE","MODERATE","HIGH","HIGH","College edu","Big city","Difficult","Gen X","MODERATE"
"CSX","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","University edu","Countryside","Coping","Boomers","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","Low edu","Countryside","Difficult","Millennials","MODERATE"
"CSX","HIGH","MODERATE","LOW","MODERATE","HIGH","HIGH","Low edu","Countryside","Comfortable","Boomers","LEFT"
"CDX","LOW","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","HIGH","College edu","Small city","Coping","Gen X","LEFT"
"M5S","LOW","MODERATE","LOW","MODERATE","HIGH","MODERATE","Low edu","Small city","Coping","Gen X","MODERATE"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Difficult","Boomers","MODERATE"
"M5S","MODERATE","LOW","LOW","MODERATE","HIGH","MODERATE","College edu","Countryside","Coping","Millennials","RIGHT"
"CDX","MODERATE","LOW","LOW","HIGH","HIGH","LOW","College edu","Big city","Difficult","Boomers","RIGHT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Gen X","MODERATE"
"CDX","HIGH","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Coping","Interwar","RIGHT"
"CDX","HIGH","LOW","HIGH","LOW","HIGH","HIGH","Low edu","Countryside","Comfortable","Boomers","RIGHT"
"M5S","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Millennials","MODERATE"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","LEFT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","RIGHT"
"CSX","HIGH","LOW","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Small city","Coping","Millennials","MODERATE"
"CSX","HIGH","MODERATE","MODERATE","HIGH","LOW","HIGH","University edu","Suburbs","Comfortable","Boomers","MODERATE"
"CDX","HIGH","MODERATE","MODERATE","MODERATE","HIGH","MODERATE","Low edu","Small city","Coping","Boomers","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","LOW","LOW","Low edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","HIGH","HIGH","LOW","MODERATE","LOW","LOW","College edu","Countryside","Comfortable","Boomers","RIGHT"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Millennials","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Small city","Coping","Gen X","RIGHT"
"M5S","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Suburbs","Coping","Millennials","MODERATE"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","University edu","Small city","Comfortable","Interwar","LEFT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","MODERATE","LOW","University edu","Small city","Coping","Interwar","RIGHT"
"M5S","HIGH","HIGH","LOW","HIGH","HIGH","MODERATE","University edu","Small city","Difficult","Gen X","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","MODERATE","LOW","College edu","Small city","Comfortable","Millennials","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","MODERATE","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"M5S","HIGH","LOW","HIGH","LOW","HIGH","LOW","Low edu","Countryside","Difficult","Gen X","RIGHT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","MODERATE","LOW","University edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Gen X","RIGHT"
"CDX","LOW","LOW","MODERATE","LOW","HIGH","MODERATE","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","MODERATE","LOW","MODERATE","LOW","MODERATE","MODERATE","Low edu","Countryside","Coping","Interwar","RIGHT"
"CSX","MODERATE","HIGH","HIGH","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Boomers","LEFT"
"M5S","LOW","LOW","LOW","HIGH","HIGH","MODERATE","Low edu","Small city","Coping","Millennials","MODERATE"
"M5S","LOW","LOW","LOW","MODERATE","HIGH","LOW","Low edu","Countryside","Coping","Millennials","RIGHT"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Boomers","RIGHT"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","MODERATE"
"CDX","HIGH","MODERATE","MODERATE","HIGH","MODERATE","HIGH","University edu","Small city","Comfortable","Millennials","RIGHT"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Gen X","LEFT"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","MODERATE","LOW","College edu","Countryside","Coping","Gen X","MODERATE"
"M5S","HIGH","LOW","HIGH","LOW","HIGH","LOW","College edu","Small city","Coping","Gen X","RIGHT"
"CDX","MODERATE","LOW","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Coping","Millennials","RIGHT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Big city","Coping","Boomers","RIGHT"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Difficult","Boomers","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Countryside","Coping","Gen X","LEFT"
"CSX","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","LEFT"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","Low edu","Small city","Coping","Boomers","LEFT"
"M5S","LOW","LOW","MODERATE","MODERATE","HIGH","LOW","College edu","Small city","Coping","Gen X","RIGHT"
"CDX","LOW","LOW","LOW","HIGH","HIGH","LOW","College edu","Small city","Comfortable","Millennials","RIGHT"
"CSX","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Gen X","MODERATE"
"M5S","HIGH","MODERATE","MODERATE","HIGH","MODERATE","HIGH","College edu","Small city","Coping","Millennials","MODERATE"
"CSX","MODERATE","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Difficult","Millennials","MODERATE"
"CDX","MODERATE","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Countryside","Coping","Gen X","RIGHT"
"CDX","LOW","MODERATE","HIGH","HIGH","MODERATE","MODERATE","Low edu","Small city","Coping","Interwar","RIGHT"
"CDX","MODERATE","LOW","LOW","LOW","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","RIGHT"
"M5S","LOW","LOW","LOW","HIGH","HIGH","LOW","Low edu","Small city","Coping","Boomers","RIGHT"
"M5S","LOW","MODERATE","LOW","HIGH","HIGH","MODERATE","College edu","Small city","Comfortable","Gen X","LEFT"
"CDX","LOW","MODERATE","HIGH","HIGH","HIGH","LOW","College edu","Small city","Difficult","Boomers","MODERATE"
"CDX","LOW","LOW","MODERATE","HIGH","LOW","LOW","University edu","Small city","Coping","Millennials","RIGHT"
"M5S","LOW","MODERATE","HIGH","MODERATE","HIGH","LOW","Low edu","Big city","Difficult","Interwar","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","LOW","MODERATE","College edu","Small city","Comfortable","Boomers","RIGHT"
"M5S","HIGH","HIGH","MODERATE","HIGH","HIGH","HIGH","College edu","Suburbs","Comfortable","Gen X","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","HIGH","LOW","University edu","Big city","Coping","Boomers","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","MODERATE","University edu","Countryside","Comfortable","Millennials","MODERATE"
"M5S","LOW","LOW","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Difficult","Millennials","MODERATE"
"M5S","HIGH","MODERATE","MODERATE","HIGH","MODERATE","MODERATE","College edu","Small city","Difficult","Millennials","MODERATE"
"CSX","HIGH","MODERATE","LOW","HIGH","HIGH","HIGH","College edu","Small city","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","College edu","Small city","Coping","Boomers","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","College edu","Countryside","Coping","Gen X","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","MODERATE","LOW","Low edu","Countryside","Comfortable","Interwar","RIGHT"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","HIGH","Low edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Suburbs","Coping","Boomers","MODERATE"
"M5S","MODERATE","MODERATE","HIGH","MODERATE","LOW","LOW","Low edu","Countryside","Difficult","Interwar","MODERATE"
"M5S","HIGH","LOW","HIGH","HIGH","HIGH","LOW","University edu","Countryside","Comfortable","Gen X","RIGHT"
"CDX","LOW","LOW","MODERATE","HIGH","HIGH","LOW","Low edu","Small city","Difficult","Interwar","MODERATE"
"CDX","MODERATE","MODERATE","HIGH","HIGH","MODERATE","LOW","Low edu","Small city","Coping","Boomers","MODERATE"
"M5S","LOW","MODERATE","HIGH","MODERATE","HIGH","MODERATE","Low edu","Suburbs","Coping","Boomers","RIGHT"
"CSX","MODERATE","MODERATE","LOW","HIGH","HIGH","LOW","College edu","Suburbs","Difficult","Boomers","LEFT"
"M5S","MODERATE","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Coping","Gen X","RIGHT"
"M5S","MODERATE","MODERATE","LOW","MODERATE","HIGH","HIGH","Low edu","Countryside","Difficult","Millennials","LEFT"
"M5S","MODERATE","MODERATE","HIGH","HIGH","HIGH","MODERATE","Low edu","Suburbs","Difficult","Boomers","LEFT"
"CSX","HIGH","MODERATE","LOW","MODERATE","HIGH","MODERATE","College edu","Big city","Comfortable","Boomers","LEFT"
"CSX","HIGH","MODERATE","MODERATE","MODERATE","HIGH","LOW","University edu","Small city","Coping","Millennials","LEFT"
"CSX","LOW","MODERATE","MODERATE","LOW","MODERATE","MODERATE","Low edu","Countryside","Difficult","Boomers","MODERATE"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","HIGH","Low edu","Small city","Coping","Interwar","LEFT"
"M5S","HIGH","HIGH","MODERATE","MODERATE","HIGH","HIGH","College edu","Small city","Coping","Millennials","MODERATE"
"M5S","HIGH","HIGH","HIGH","HIGH","MODERATE","HIGH","College edu","Small city","Coping","Gen X","MODERATE"
"M5S","LOW","LOW","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Big city","Comfortable","Boomers","RIGHT"
"CSX","HIGH","HIGH","LOW","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","LEFT"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","College edu","Countryside","Comfortable","Boomers","LEFT"
"CSX","LOW","LOW","LOW","HIGH","HIGH","HIGH","College edu","Big city","Coping","Boomers","MODERATE"
"M5S","MODERATE","LOW","LOW","HIGH","HIGH","MODERATE","College edu","Countryside","Comfortable","Millennials","MODERATE"
"CSX","MODERATE","MODERATE","MODERATE","MODERATE","MODERATE","MODERATE","Low edu","Small city","Difficult","Boomers","MODERATE"
"M5S","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","College edu","Suburbs","Coping","Gen X","MODERATE"
"M5S","HIGH","MODERATE","LOW","HIGH","HIGH","MODERATE","University edu","Countryside","Comfortable","Gen X","LEFT"
"CSX","HIGH","HIGH","LOW","MODERATE","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","LEFT"
"M5S","HIGH","MODERATE","HIGH","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Boomers","RIGHT"
"M5S","LOW","LOW","MODERATE","HIGH","LOW","LOW","College edu","Countryside","Comfortable","Millennials","RIGHT"
"CDX","LOW","MODERATE","LOW","HIGH","HIGH","LOW","College edu","Small city","Coping","Boomers","RIGHT"
"M5S","HIGH","MODERATE","LOW","MODERATE","HIGH","HIGH","Low edu","Small city","Difficult","Gen X","LEFT"
"CSX","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","College edu","Small city","Coping","Boomers","LEFT"
"M5S","LOW","LOW","LOW","HIGH","MODERATE","HIGH","Low edu","Small city","Coping","Gen X","MODERATE"
"M5S","LOW","LOW","HIGH","MODERATE","HIGH","LOW","Low edu","Countryside","Difficult","Boomers","MODERATE"
"M5S","MODERATE","MODERATE","MODERATE","HIGH","HIGH","HIGH","Low edu","Countryside","Coping","Gen X","MODERATE"
"CSX","HIGH","HIGH","HIGH","HIGH","HIGH","HIGH","University edu","Countryside","Coping","Boomers","LEFT"
"M5S","LOW","LOW","HIGH","LOW","HIGH","LOW","Low edu","Suburbs","Difficult","Boomers","LEFT"
"CSX","MODERATE","MODERATE","HIGH","HIGH","LOW","LOW","Low edu","Countryside","Comfortable","Boomers","RIGHT"
"CDX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Millennials","RIGHT"
"CDX","LOW","MODERATE","HIGH","HIGH","MODERATE","LOW","Low edu","Countryside","Comfortable","Interwar","RIGHT"
"M5S","MODERATE","MODERATE","MODERATE","MODERATE","HIGH","LOW","College edu","Countryside","Comfortable","Boomers","MODERATE"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","LOW","University edu","Small city","Comfortable","Millennials","RIGHT"
"CSX","MODERATE","HIGH","HIGH","HIGH","HIGH","MODERATE","University edu","Small city","Comfortable","Interwar","MODERATE"
"CDX","MODERATE","MODERATE","MODERATE","HIGH","HIGH","MODERATE","College edu","Countryside","Comfortable","Millennials","RIGHT"
"CDX","MODERATE","MODERATE","HIGH","HIGH","MODERATE","LOW","Low edu","Countryside","Coping","Boomers","RIGHT"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Suburbs","Coping","Gen X","RIGHT"
"CSX","MODERATE","MODERATE","HIGH","MODERATE","HIGH","MODERATE","University edu","Small city","Coping","Gen X","MODERATE"
"CDX","LOW","LOW","HIGH","HIGH","HIGH","LOW","Low edu","Countryside","Difficult","Interwar","RIGHT"
"CSX","HIGH","HIGH","LOW","HIGH","MODERATE","HIGH","College edu","Countryside","Coping","Gen X","LEFT"
"CDX","HIGH","MODERATE","HIGH","HIGH","HIGH","LOW","Low edu","Small city","Comfortable","Boomers","RIGHT"
"CSX","HIGH","MODERATE","MODERATE","HIGH","HIGH","LOW","College edu","Suburbs","Coping","Boomers","MODERATE"
"M5S","LOW","MODERATE","MODERATE","HIGH","MODERATE","LOW","College edu","Countryside","Difficult","Gen X","RIGHT"
